course_code,lesson_no,lesson_title,youtube_url
NMDR-5.0,4,5.0.4.1 Data: what a survey can and cannot answer,
NMDR-5.0,5,5.0.4.2 Report: reading a survey against routine data,
NMDR-5.0,6,5.0.5.1 SBD collection,
NMDR-5.0,7,5.0.5.2 MOCM for peripheral health units,
NMDR-5.0,8,5.0.5.3 MOCM for hospitals,
NMDR-5.0,9,5.0.5.4 MOCM for the laboratory,
NMDR-5.0,10,5.0.5.5 Warehouse assessment,
NMDR-5.0,11,"5.0.5.6 SBC coaching, Form K",
NMDR-5.0,12,5.0.5.7 TES data collection tool,
NMDR-5.0,13,5.0.6 Analytics learning,
NMDR-5.0,14,5.0.7 Global Fund implementation plan,
NMDR-5.0,15,5.0.8 NMCP partners mapping,
NMDR-5.0,16,5.0.9 World Malaria Day,
NMDR-5.0,17,5.0.10 Population figures and the base year,
NMDR-5.0,18,5.0.11 Performance framework,
NMDR-5.0,19,5.0.12 Google Drive files,
NMDR-6.0,1,6.0.1 Data quality assessment,
NMDR-6.0,2,6.0.2 Reporting,
NMDR-6.0,3,6.0.3 Suspected,
NMDR-6.0,4,6.0.4 Tested,
NMDR-6.0,5,6.0.5 Confirmed cases,
NMDR-6.0,6,6.0.6 Confirmed and treated,
NMDR-6.0,7,6.0.7 Confirmed and not treated,
NMDR-6.0,8,6.0.8 Presumptive treatment,
NMDR-6.0,9,6.0.9 Total treated,
NMDR-6.0,10,6.0.10 Test positivity rate,
NMDR-6.0,11,"6.0.11.1 Comparative analysis, under five",
NMDR-6.0,12,"6.0.11.2 Comparative analysis, all ages",
NMDR-6.0,13,6.0.12 eIDSR,
NMDR-7.0,1,7.0.1.1 Datasets and where each came from,
NMDR-7.0,2,7.0.1.2 Codes,
NMDR-7.0,3,7.0.1.3 Outputs,
NMDR-7.0,4,7.0.1.4 Report,
NMDR-7.0,5,7.0.1.5 SNT manual,
NMDR-7.0,6,7.0.1.6 Intervention targeting,
NMDR-7.0,7,7.0.2.1 Datasets,
NMDR-7.0,8,7.0.2.2 Codes,
NMDR-7.0,9,7.0.2.3 Outputs,
NMDR-7.0,10,7.0.2.4 Report,
NMDR-7.0,11,"7.0.3.1 Trend analysis, all ages",
NMDR-7.0,12,"7.0.3.2 Trend analysis, under five",
NMDR-8.0,1,"8.0.1 Data: budget lines, activities and expenditure",
NMDR-8.0,2,8.0.2 Report: absorption against completion,
NMDR-8.0,3,8.0.3 Dashboard: by activity and by quarter,
NMDR-8.0,4,8.0.4 NSP costing and the funding gap,
DHIS2-01,1,"Signing in, apps and the home screen",
DHIS2-01,2,The organisation unit hierarchy: nation to facility,
DHIS2-01,3,"Data elements, indicators, category combinations",
DHIS2-01,4,"Opening the right dataset, period and organisation unit",
DHIS2-01,5,"Entering, completing and locking a period",
DHIS2-01,6,Validation rules and what a failure is telling you,
DHIS2-02,1,"Choosing indicator, period type and organisation unit level",
DHIS2-02,2,"Disaggregation, totals and subtotals",
DHIS2-02,3,Downloading and what breaks when you do,
DHIS2-02,4,Which chart for which question,
DHIS2-02,5,Relative periods and why they matter,
DHIS2-02,6,Thematic maps and the choropleth trap,
DHIS2-03,1,"Grouping items by decision, not by build order",
DHIS2-03,2,Keeping it to one screen,
DHIS2-03,3,Naming an owner and reviewing it monthly,
DHIS2-03,4,"User roles, authorities and what they allow",
DHIS2-03,5,Sharing settings on an output and on a dashboard,
DHIS2-03,6,Why a colleague sees a different dashboard from yours,
SNT-01,1,"Burden, vector, access and behaviour differ by place",
SNT-01,2,What tailoring is and what it is not,
SNT-01,3,Routine incidence and its three adjustments,
SNT-01,4,"Survey prevalence, mortality and intervention coverage",
SNT-01,5,"Entomology, resistance and access measures",
SNT-01,6,Choosing the unit: district or chiefdom,
SNT-01,7,Documenting adjustments and assumptions,
SNT-01,8,Version control on datasets and code,
SNT-02,1,Matching intervention to stratum,
SNT-02,2,"Where spraying, chemoprevention or a different net belongs",
SNT-02,3,Applying the budget envelope,
SNT-02,4,"Scenarios: full package, reduced package, what each buys",
SNT-02,5,Agreeing the mix with districts and partners,
SNT-02,6,Intervention targeting outputs and the manual,
MPR-01,1,"Why a review, and where it sits in the planning cycle",
MPR-01,2,What a review can and cannot settle,
MPR-01,3,"Epidemiology, case management and prevention",
MPR-01,4,"Surveillance, supply chain, behaviour change",
MPR-01,5,"Programme management, finance and governance",
MPR-01,6,Desk review and the evidence pack,
MPR-01,7,Field visits and what they add,
MPR-01,8,"Validation, aide memoire and the final report",
MPR-02,1,Datasets and their provenance,
MPR-02,2,Codes and reproducing a figure,
MPR-02,3,Outputs and the report,
MPR-02,4,Actionable against aspirational recommendations,
MPR-02,5,From recommendation to activity in the next plan,
NSP-01,1,"Goal, objectives and targets against a baseline",
NSP-01,2,Intervention packages by objective,
NSP-01,3,The monitoring and evaluation section,
NSP-01,4,From objective to activity and back,
NSP-01,5,The annual operational plan,
NSP-01,6,Where the money comes from and the cycles it imposes,
NSP-02,1,"Population, targets and quantities per intervention",
NSP-02,2,"Unit costs, delivery costs and the costs people forget",
NSP-02,3,Scenarios and what each level of funding buys,
NSP-02,4,Committed funding by source and by year,
NSP-02,5,"Government allocation, grants and partner contributions",
NSP-02,6,Computing the gap and presenting it usefully,
NSP-02,7,From gap to annual priorities,
MOCM-01,1,"Coaching, not catching out",
MOCM-01,2,Discussing every finding with the worker on the day,
MOCM-01,3,Observation against what the register says,
MOCM-01,4,Facility readiness and diagnosis,
MOCM-01,5,Clinical management and malaria in pregnancy,
MOCM-01,6,Chemoprevention at immunisation and data management,
MOCM-01,7,The behaviour change checklist,
MOCM-01,8,"Three actions, named owners, dates",
MOCM-01,9,Opening the next visit with the last action plan,
MOCM-02,1,How a section score is computed,
MOCM-02,2,Assembling the facility performance score,
MOCM-02,3,Recording the reason beside the score,
MOCM-02,4,District trends across facilities,
MOCM-02,5,Repeat findings as a training or supply problem,
MOCM-02,6,Feeding the picture back to the district team,
MOCM-03,1,What the hospital checklist adds,
MOCM-03,2,"Admissions, severe malaria and referral",
MOCM-03,3,The hospital scorecard,
MOCM-03,4,"Microscopy, staining and slide quality",
MOCM-03,5,Slide rechecking and competence assessment,
MOCM-03,6,"Equipment, reagents and the quality system",
ITN-01,1,What household registration establishes,
ITN-01,2,"Registration tools, teams and supervision",
ITN-01,3,Common registration errors and how they compound,
ITN-01,4,The allocation rule and the household cap,
ITN-01,5,From registered population to bales required,
ITN-01,6,Macro plan: storage points and movement routes,
ITN-01,7,"Micro plan: teams, days, supervision and payment",
ITN-02,1,Central store to district store,
ITN-02,2,District store to peripheral health unit,
ITN-02,3,Dispatch receipts and digital tracking,
ITN-02,4,"Distribution day: queues, vouchers and records",
ITN-02,5,Supervision during distribution,
ITN-02,6,"Issued, distributed, returned and the gap",
ITN-02,7,Investigating a gap and what gets written down,
ITN-03,1,Access: population with a net in the household,
ITN-03,2,Use: slept under a net last night,
ITN-03,3,The ratio of use to access,
ITN-03,4,Low access: a supply or registration problem,
ITN-03,5,Good access with low use: a behaviour problem,
ITN-03,6,Coverage decay and what continuous channels must hold,
SBD-01,1,The age group other channels miss,
SBD-01,2,Working with the education authorities,
SBD-01,3,"School lists, enrolment and quantities",
SBD-01,4,"Teams, training and the timetable",
SBD-01,5,The distribution day in a school,
SBD-01,6,Recording by class and by pupil,
SBD-01,7,Supervision and verification,
SBD-02,1,"Fields, validation and daily flow",
SBD-02,2,Offline collection and sync,
SBD-02,3,Common field problems,
SBD-02,4,School records against store issues,
SBD-02,5,Explaining and documenting differences,
SBD-02,6,Closing the campaign record,
MRDQA-01,1,"Completeness, timeliness, accuracy, consistency, integrity",
MRDQA-01,2,Impossible values and the checks that catch them,
MRDQA-01,3,"Consistency across periods, indicators and neighbours",
MRDQA-01,4,Selecting the sample,
MRDQA-01,5,Recounting the register,
MRDQA-01,6,The verification factor and what it means,
MRDQA-01,7,Recording the reason for a difference,
MRDQA-02,1,Preparing the visit and what to bring,
MRDQA-02,2,Working with the data clerk and the in charge,
MRDQA-02,3,Feedback on the day,
MRDQA-02,4,Correcting a record and authorising the correction,
MRDQA-02,5,Facility problems against system problems,
MRDQA-02,6,Measuring improvement at the next round,
R-01,1,Installing R and RStudio,
R-01,2,The working directory: getwd and setwd,
R-01,3,"Forward slash, never backslash",
R-01,4,"Packages: install.packages and library, and pacman",
R-01,5,CSV and delimited files,
R-01,6,Excel workbooks and sheets,
R-01,7,Stata and SPSS files,
R-01,8,JSON and RDS,
R-01,9,Shapefiles and GeoJSON,
R-01,10,"head, tail, str and summary",
R-01,11,What to check before you trust a read,
R-02,1,select and the helper functions,
R-02,2,filter and the comparison operators,
R-02,3,"arrange, distinct and slice",
R-02,4,rename and mutate,
R-02,5,group_by and summarise,
R-02,6,count and n(),
R-02,7,Missing values and na.rm,
R-02,8,"Why joins are made on codes, not names",
R-02,9,left_join and checking what did not match,
R-03,1,Bar charts every useful way,
R-03,2,Trend lines over months and years,
R-03,3,Histograms and distributions,
R-03,4,"Axes, labels and a colour blind safe palette",
R-03,5,Reading the chiefdom boundaries,
R-03,6,Joining data to geometry on the code,
R-03,7,"Choropleths, classes and what they hide",
R-03,8,Exporting for a report or a slide,
PY-01,1,Installing Python and choosing an editor,
PY-01,2,"Notebooks against scripts, and when each fits",
PY-01,3,Virtual environments and installing packages,
PY-01,4,"Paths, and the forward slash rule",
PY-01,5,CSV and delimited files with pandas,
PY-01,6,Excel workbooks and sheets,
PY-01,7,JSON and Stata,
PY-01,8,"head, shape, dtypes and describe",
PY-01,9,What to check before you trust a read,
PY-02,1,"loc, iloc and boolean masks",
PY-02,2,Working with dates and periods,
PY-02,3,groupby and agg,
PY-02,4,Pivot and melt: wide against long,
PY-02,5,"merge on a code, and validating the merge",
PY-02,6,"Missing values, duplicates and the assumptions behind each fix",
PY-03,1,"Bar, line and distribution charts",
PY-03,2,"Axes, labels and a colour blind safe palette",
PY-03,3,Saving at the right size,
PY-03,4,Writing Excel and CSV people can actually use,
PY-03,5,Formatting a sheet without breaking the data,
PY-03,6,From notebook to script,
PY-03,7,"Parameters, logging and failing loudly",
PY-03,8,Scheduling a script and what can go wrong,
AUT-01,1,"Same method, same output, every month",
AUT-01,2,What automation does not fix,
AUT-01,3,Extraction and the source contract,
AUT-01,4,Transformation and the rules that live there,
AUT-01,5,"Output, publication and versioning",
AUT-01,6,Where a person must sign off,
AUT-01,7,What to do when a run disagrees with last month,
AUT-02,1,Scheduling and dependencies between steps,
AUT-02,2,Logging what matters,
AUT-02,3,Quality gates: rules that stop a bad run,
AUT-02,4,"Alerts people act on, and alert fatigue",
AUT-02,5,Diagnosing a failed run,
AUT-02,6,Rerunning safely and what must not be run twice,
HR-01,1,What is held in your staff record and why,
HR-01,2,"Identification, banking and next of kin",
HR-01,3,"Contract type, hours and probation",
HR-01,4,"Leave: annual, sick, compassionate and how to apply",
HR-01,5,"Travel, timesheets and per diem",
HR-01,6,"Who handles what, and in what order",
HR-02,1,Setting objectives that can be assessed,
HR-02,2,The review conversation and what to bring,
HR-02,3,Development and training requests,
HR-02,4,The conduct rules in practice,
HR-02,5,"Conflict of interest, gifts and procurement",
HR-02,6,Raising a grievance,
HR-02,7,Reporting a safeguarding or fraud concern,
HR-02,8,Protection for the person who reports,
